time,MMP_eps_imag,MMP_eps_real,MMP_sigma_imag,MMP_sigma_real,attenuation,dispersion,omega_times_volume
-4.25,0,0,0,0,0,0,0
-4,2.1688780506282e-08,-0.4,-12.119848925596,-11045.867794703,0.0010972834439169,27614.669485114,100.53096491514
-3.75,2.6739071388578e-08,-0.4,-17.555175344,-11046.198127552,0.0015893172977566,27615.495315947,178.77214498015
-3.5,4.6383683940379e-08,-0.4,-30.921164003369,-11047.217818646,0.0027991160804183,27618.044537649,317.90682450489
-3.25,7.9303679509975e-08,-0.4,-54.407587525958,-11050.283488651,0.0049238355246997,27625.708694659,565.3271603273
-3,1.2230243395128e-07,-0.4,-92.444278916506,-11058.762436569,0.0083596750510708,27646.906020755,1005.3096491433
-2.75,1.6967440035149e-07,-0.4,-152.57027956203,-11079.020019252,0.013771523090794,27697.549886328,1787.7214497819
-2.5,2.261785895039e-07,-0.4,-239.36926343445,-11121.748005706,0.021523195362635,27804.36967588,3179.0682450616
-2.25,3.9326210948061e-07,-0.4,-356.05114396026,-11204.630922692,0.031778125797539,28011.576431568,5653.2716032754
-2,7.9672237902559e-07,-0.4,-494.72500928738,-11344.933003471,0.043609569929919,28362.330045074,10053.096491494
-1.75,1.3415392686618e-06,-0.4,-644.45977500804,-11547.185173382,0.055814348992848,28867.95752958,17877.214497985
-1.5,1.9050239940292e-06,-0.4,-802.27686765537,-11809.959058827,0.067937015604989,29524.888094167,31790.682450498
-1.25,2.4802275882469e-06,-0.4,-963.75580477962,-12142.391214773,0.079377410249097,30355.963096179,56532.716032547
-1,2.9533785136763e-06,-0.4,-1107.4652309938,-12550.431486842,0.088248648597702,31376.058273118,100530.96491507
-0.75,3.2645371151287e-06,-0.4,-1208.8939653743,-13020.19074462,0.092855870352598,32550.452193887,178772.14497999
-0.5,3.4206064835563e-06,-0.4,-1252.1305077663,-13527.889355094,0.092567816755562,33819.696616227,317906.82450496
-0.25,3.4005875612385e-06,-0.4,-1223.2748995304,-14041.760694147,0.087125482896548,35104.375733747,565327.16033018
0,3.1794144937532e-06,-0.4,-1126.6846898867,-14517.94688913,0.077614334175032,36294.844831797,1005309.6491477
0.25,2.8434045401514e-06,-0.4,-991.04672015732,-14926.703870711,0.066401350437097,37316.742062726,1787721.449791
0.5,2.5131444530283e-06,-0.4,-846.39388892849,-15262.880143645,0.05546070403789,38157.187063168,3179068.2450427
0.75,2.2003765776637e-06,-0.4,-711.75376550355,-15533.545954886,0.045825943163313,38833.85509775,5653271.6033074
1,1.8702375320955e-06,-0.4,-599.67857382071,-15749.043586019,0.038081824680453,39372.601954553,10053096.491486
1.25,1.5413248259306e-06,-0.4,-518.70593902105,-15924.076142094,0.032577548608824,39810.185357805,17877214.497986
1.5,1.3474950591639e-06,-0.4,-471.94915138797,-16077.086503321,0.029358762077554,40192.712283164,31790682.450522
1.75,1.3823556722453e-06,-0.4,-455.73586356075,-16228.315254788,0.028086217447643,40570.784199055,56532716.032593
2,1.597732081217e-06,-0.4,-460.59893702537,-16392.3883254,0.028102339707607,40980.966213386,100530964.91536
2.25,1.7959655862005e-06,-0.4,-474.79755285729,-16578.56789119,0.02864373167696,41446.414397639,178772144.98003
2.5,1.8194937071537e-06,-0.4,-476.78667215298,-16785.35888305,0.028409466203635,41963.391784817,317906824.50505
2.75,1.7972393597565e-06,-0.4,-455.93152796029,-16986.832525522,0.026844787324414,42467.076191584,565327160.3299
3,1.9832416212234e-06,-0.4,-427.46077419753,-17166.297278613,0.024906124619211,42915.73789699,1005309649.143
3.25,2.54842400066e-06,-0.4,-400.33452477799,-17325.987530763,0.023112389289358,43314.962448762,1787721449.7841
3.5,3.2501963152841e-06,-0.4,-379.08653061925,-17470.484633351,0.021706813617521,43676.203879834,3179068245.041
3.75,3.5086178835379e-06,-0.4,-364.76873769066,-17611.348170574,0.020720916944143,44028.362424085,5653271603.3032
4,3.1179275903772e-06,-0.4,-350.73841715556,-17752.071734516,0.01976540263165,44380.172498738,10053096491.471
4.25,2.3733123559301e-06,-0.4,-334.00679119093,-17889.022796084,0.018676982673106,44722.552034244,17877214497.936
4.5,1.6369991079017e-06,-0.4,-314.44011401416,-18020.806299591,0.017452819887974,45052.012531109,31790682450.597
4.75,1.0650893642445e-06,-0.4,-290.09829182221,-18146.283804545,0.015989313615563,45365.707579912,56532716033.05
5,6.8912761961527e-07,-0.4,-258.27611840228,-18260.481262963,0.014145716122251,45651.202044865,100530964915.16
5.25,4.9107836012447e-07,-0.4,-220.2427224371,-18357.146270498,0.011998883673368,45892.865000199,178772144979.68
5.5,3.9641911973806e-07,-0.4,-180.06249834495,-18434.511569261,0.009768675936637,46086.278476981,317906824506.83
5.75,3.4155924585518e-07,-0.4,-140.21829351417,-18493.816817857,0.0075827552331966,46234.541745279,565327160327.95
6,2.8964657842833e-07,-0.4,-102.68009898882,-18535.775971098,0.0055402871517814,46339.43974184,1005309649144.2

