time,MMP_eps_imag,MMP_eps_real,MMP_sigma_imag,MMP_sigma_real,attenuation,dispersion,omega_times_volume
-4.25,0,0,0,0,0,0,0
-4,2.4155295446791e-07,-0.4,-23.466616140444,-14086.805299546,0.0016664618015565,35217.013213424,100.5309649151
-3.75,4.2489685757362e-07,-0.4,-40.500476343971,-14088.532756727,0.0028757744046545,35221.331784224,178.77214497955
-3.5,7.5084176743255e-07,-0.4,-71.062401042981,-14093.824362327,0.0050439721305035,35234.560572215,317.90682450506
-3.25,1.3121585104529e-06,-0.4,-121.63649387035,-14109.071812051,0.0086244355602711,35272.678532207,565.32716032727
-3,2.2360179976091e-06,-0.4,-196.99568816492,-14147.428583009,0.013930078325607,35368.568703381,1005.3096491444
-2.75,3.59884802779e-06,-0.4,-291.6681443776,-14225.090731762,0.020512781855548,35562.720266092,1787.7214497854
-2.5,5.1653021112871e-06,-0.4,-387.63428632478,-14347.055038102,0.027031309755731,35867.625075223,3179.0682450619
-2.25,6.3777820084017e-06,-0.4,-471.15577728883,-14497.106308522,0.03251594904436,36242.746981286,5653.271603272
-2,6.8498918243355e-06,-0.4,-560.70496905486,-14663.596234907,0.038255039044328,36658.966571714,10053.096491454
-1.75,6.5728908241755e-06,-0.4,-677.01542112331,-14868.733878992,0.045549288848418,37171.806875266,17877.214498003
-1.5,5.7362795558371e-06,-0.4,-804.84444773905,-15135.922871323,0.05318883613525,37839.778315447,31790.682450505
-1.25,4.7928054775423e-06,-0.4,-924.82857227524,-15461.987472361,0.059825071169825,38654.940972082,56532.716032663
-1,4.1413168294256e-06,-0.4,-1029.6820551049,-15842.036052882,0.065007222677022,39605.063476462,100530.96491507
-0.75,3.8291000228653e-06,-0.4,-1105.2926959942,-16269.07340716,0.067947886584412,40672.657062447,178772.14497988
-0.5,3.7322213463421e-06,-0.4,-1135.8917702589,-16725.020471711,0.067925091379142,41812.52467939,317906.8245049
-0.25,3.6458250160695e-06,-0.4,-1109.1813452153,-17184.547329396,0.064554428243511,42961.343045665,565327.16033023
0,3.3947703327704e-06,-0.4,-1025.6963481784,-17614.587858028,0.058238453099989,44036.447879375,1005309.6491474
0.25,2.956210587348e-06,-0.4,-904.10894391524,-17988.747217841,0.050267103937493,44971.851337543,1787721.4497907
0.5,2.4449740519311e-06,-0.4,-767.91981954617,-18298.591671278,0.04197218448881,45746.467441836,3179068.2450514
0.75,1.9923586699506e-06,-0.4,-633.52901230031,-18547.023244443,0.03416297551141,46367.5502211,5653271.6033046
1,1.6454916703976e-06,-0.4,-511.67760053665,-18741.194156653,0.027306411210169,46852.980128582,10053096.491521
1.25,1.370154003344e-06,-0.4,-408.3733838218,-18890.492279537,0.021621359318308,47226.227201198,17877214.497988
1.5,1.1482758566168e-06,-0.4,-325.98315146418,-19004.380852591,0.017155924506399,47510.949791593,31790682.450512
1.75,9.9991794537456e-07,-0.4,-265.24972634264,-19091.737348901,0.01389593079641,47729.34171428,56532716.032716
2,9.5747962809353e-07,-0.4,-226.30601198095,-19160.804658007,0.011813276510077,47902.010290471,100530964.91497
2.25,1.045398613403e-06,-0.4,-210.18256305515,-19219.409733114,0.010938566888572,48048.52295918,178772144.97907
2.5,1.2672207360621e-06,-0.4,-218.92821277367,-19277.993813936,0.0113595479099,48194.982800416,317906824.50513
2.75,1.6184814652628e-06,-0.4,-250.30305467273,-19350.629220168,0.01293918463918,48376.570517685,565327160.32982
3,1.9703276144015e-06,-0.4,-292.95105386806,-19448.488962101,0.015067847991663,48621.218796513,1005309649.145
3.25,2.0094302378492e-06,-0.4,-331.48190432165,-19569.206787625,0.016943979565716,48923.012804767,1787721449.7885
3.5,1.7017588474214e-06,-0.4,-361.51398913921,-19701.95028343,0.018353403195409,49254.871862623,3179068245.0522
3.75,1.339223993388e-06,-0.4,-385.12319820412,-19844.279738585,0.019410614451398,49610.696122368,5653271603.2786
4,1.0373280601943e-06,-0.4,-402.93562248137,-19996.817700959,0.020152581661561,49992.041639707,10053096491.496
4.25,7.9205627408506e-07,-0.4,-411.57407987902,-20160.712284387,0.020416640630473,50401.778673334,17877214497.919
4.5,6.8804305565642e-07,-0.4,-401.95324914021,-20330.033883532,0.019773121626896,50825.082980172,31790682450.584
4.75,7.1152469616908e-07,-0.4,-371.90418386132,-20490.827164762,0.01815156812376,51227.066257874,56532716033.034
5,7.1740216853558e-07,-0.4,-325.04121984325,-20631.524988505,0.015756384075423,51578.811013689,100530964915.23
5.25,7.0946483323418e-07,-0.4,-270.52567315011,-20745.065199008,0.013042257112624,51862.661797804,178772144978.89
5.5,7.5363246494856e-07,-0.4,-217.69795728299,-20833.309553856,0.010451398163741,52083.272859054,317906824506.88
5.75,7.7618930804024e-07,-0.4,-169.41982880826,-20901.274295012,0.0081076582913517,52253.184915448,565327160327.87
6,6.6755805800084e-07,-0.4,-125.22670615459,-20951.471791698,0.0059786574642103,52378.678956624,1005309649146.2

