time,MMP_eps_imag,MMP_eps_real,MMP_sigma_imag,MMP_sigma_real,attenuation,dispersion,omega_times_volume
-4.25,0,0,0,0,0,0,0
-4,-0.00095976265720538,0.1999891152649,8.3916651405502e-11,3788.7806834085,0.0047990744693207,9472.2490785393,100.53096491502
-3.75,-0.001683605712285,0.19998910991696,-4.8194337409768e-11,3791.0152331767,0.0084184869515219,9477.3824960854,178.7721449792
-3.5,-0.0028758835024583,0.19998909509394,-2.2126656062937e-10,3797.5432809341,0.01438020158597,9492.412940772,317.90682450497
-3.25,-0.004607058955385,0.19998906273786,-3.9027980847095e-10,3814.2102633742,0.023036554561002,9530.9892171892,565.32716032745
-3,-0.0066601803465645,0.19998901872417,-4.5243542245998e-10,3847.5238748602,0.03330273026504,9608.6811324685,1005.3096491501
-2.75,-0.0088568067976479,0.19998896385173,-5.190354812612e-10,3900.9586723373,0.044286477748779,9733.8439436784,1787.721449795
-2.5,-0.011081436729901,0.19998880077612,-4.6945913823038e-10,3980.7630279248,0.055410286410401,9922.0013500648,3179.0682450603
-2.25,-0.012614706136993,0.19998839766194,-3.0061464428854e-10,4084.526541416,0.063077189899294,10171.439333629,5653.2716032815
-2,-0.013081281306406,0.19998775268589,1.8532730905463e-11,4194.5028255609,0.065410412041348,10442.221969188,10053.096491476
-1.75,-0.012907905509424,0.19998700254988,2.3295587681105e-10,4300.86194481,0.064543722066213,10708.244270657,17877.214497945
-1.5,-0.012361954317609,0.19998627904646,3.3350522343767e-10,4405.5280037412,0.061814012324077,10972.649474039,31790.68245053
-1.25,-0.011352083142999,0.19998561958112,4.1278713780457e-10,4506.1961184328,0.056764497201326,11230.114599969,56532.716032956
-1,-0.0099900094042718,0.19998503049577,4.7520720691807e-10,4596.6045151467,0.049953785938511,11463.7650051,100530.96491501
-0.75,-0.0085061273718227,0.19998451530059,5.94805316112e-10,4674.3130630057,0.042533929984843,11665.582865139,178772.14497982
-0.5,-0.0070507446046827,0.19998408264975,6.4190497361949e-10,4738.3463279918,0.035256528976151,11832.101097139,317906.82450521
-0.25,-0.0057605010241646,0.19998375328319,5.0578852217598e-10,4789.3909525074,0.02880484504173,11964.522915608,565327.1603301
0,-0.0047051950214094,0.19998351049645,3.1587921167642e-10,4830.4112758147,0.023527914925296,12070.342217977,1005309.6491472
0.25,-0.0038591793669423,0.19998332409351,1.2071366128907e-10,4863.6736650286,0.019297505851751,12155.671378371,1787721.449792
0.5,-0.0032149728407648,0.19998317965441,5.8558008442233e-10,4890.0211166513,0.016076216241508,12222.922076389,3179068.2450616
0.75,-0.0028137560497125,0.19998306918288,-3.7416847398219e-11,4910.6197146851,0.014069971329113,12275.158594112,5653271.6033014
1,-0.0027242313750378,0.19998298540927,-6.820988218692e-12,4927.2402140456,0.013622315765825,12316.862952165,10053096.491488
1.25,-0.0030551844962264,0.19998291927284,1.2646506064584e-10,4942.5590453365,0.015277227211906,12354.569506421,17877214.497971
1.5,-0.003952459382398,0.19998285566686,2.765059292642e-10,4961.644230851,0.019763991114285,12400.330210044,31790682.450501
1.75,-0.0054963836954325,0.19998277120644,6.1850702337551e-10,4993.5432670874,0.027484286082741,12475.509844194,56532716.033008
2,-0.0075293049616928,0.19998262501872,9.5604768546309e-10,5048.4515124686,0.037649795631125,12604.358567916,100530964.91466
2.25,-0.0096020354795245,0.19998233742641,1.0857945653697e-09,5132.877434128,0.048014417688763,12803.809232366,178772144.97925
2.5,-0.010919113747254,0.19998182957371,6.8186967183692e-10,5241.5635840105,0.054600529310869,13066.146557549,317906824.50497
2.75,-0.011379799301682,0.1999811138447,1.7595791490521e-10,5351.7015331037,0.056904370032291,13337.329660484,565327160.32922
3,-0.011791560250835,0.1999802483191,1.5665335695303e-10,5459.5358143014,0.058963624407673,13602.894301414,1005309649.1508
3.25,-0.012241425286273,0.19997935695717,7.7722717151119e-11,5576.9368737634,0.061213444590171,13891.727898465,1787721449.7985
3.5,-0.012499265204531,0.1999785748935,-2.476019389519e-10,5702.3312995873,0.062503021692091,14201.874140574,3179068245.0601
3.75,-0.012620848557413,0.19997786425433,-4.100293438114e-10,5832.3595382214,0.063111227857441,14524.660702598,5653271603.2814
4,-0.012560746970657,0.19997714843844,-4.2552628087833e-10,5968.3154385536,0.062810911490265,14863.852579006,10053096491.497
4.25,-0.012061873745593,0.19997645706942,-5.4998094967118e-10,6108.2254962825,0.060316468860068,15217.000909315,17877214497.906
4.5,-0.011047414449182,0.19997587464894,-7.9676887310143e-10,6241.9513691041,0.055243736118421,15559.276121767,31790682450.563
4.75,-0.0097647251715592,0.19997544231659,-9.3302299219999e-10,6360.7070549178,0.048829621569587,15865.890879529,56532716032.977
5,-0.008437737453869,0.19997513598854,-1.015644457425e-09,6464.025351786,0.042193932821335,16133.349995067,100530964915.1
5.25,-0.0070907034996816,0.19997490958765,-1.0953629114852e-09,6553.2005477134,0.035457965773153,16364.482379276,178772144979.15
5.5,-0.0057192704115887,0.19997474688217,-1.1427614410309e-09,6626.9741892027,0.02859996324898,16555.98553505,317906824505.32
5.75,-0.0043753799846402,0.19997463860744,-1.1158509671816e-09,6683.601861212,0.021879674418095,16703.127616075,565327160328.18
6,-0.0031461264299855,0.19997456716484,-1.0071379286103e-09,6723.0267492972,0.015732632777058,16805.544828692,1005309649150.9

