time,MMP_eps_imag,MMP_eps_real,MMP_sigma_imag,MMP_sigma_real,attenuation,dispersion,omega_times_volume
-4.25,0,0,0,0,0,0,0
-4,-0.00043459523932972,0.19999829193481,-3.1045277459896e-11,2467.0381918965,0.0021729947547195,6167.6190305483,100.5309649151
-3.75,-0.00076222700066656,0.19999828985016,-1.3078460536775e-10,2467.5961915022,0.0038111675916181,6168.9536246555,178.77214497991
-3.5,-0.0013041557073573,0.19999828399277,-3.4767411172254e-10,2469.2098440178,0.0065208344856415,6172.8150992593,317.90682450499
-3.25,-0.0021084058985537,0.19999827046041,-6.4181771008975e-10,2473.2757247149,0.010542120657585,6182.5556761918,565.32716032747
-3,-0.0031366556507726,0.199998248654,-9.3965413228148e-10,2481.6034422671,0.01568341558892,6202.5372978216,1005.3096491447
-2.75,-0.0043114437673795,0.19999822569802,-1.2379008929031e-09,2496.2687118679,0.021557410083178,6237.8282887442,1787.7214497844
-2.5,-0.0055033243045928,0.19999820784578,-1.4091003919248e-09,2519.097455388,0.02751686809476,6293.0351236786,3179.0682450603
-2.25,-0.0066669026418439,0.19999818616564,-1.624896217578e-09,2549.0950090436,0.03333481552775,6365.7216654818,5653.2716032769
-2,-0.0078700743711508,0.19999814939889,-1.8450134753323e-09,2585.6698882715,0.039350735967617,6454.2402695854,10053.096491482
-1.75,-0.0088647068332556,0.19999811099314,-1.9735768574947e-09,2631.5281336537,0.044323952806782,6565.982857987,17877.214497958
-1.5,-0.0090999094382857,0.19999807791368,-2.0753008200813e-09,2684.3938781821,0.045499984465142,6697.1843550907,31790.682450508
-1.25,-0.0084716651944971,0.19999804607013,-1.9934400796728e-09,2735.5238916226,0.04235873980179,6826.6277779538,56532.716032613
-1,-0.0073182621086038,0.19999801618105,-2.0275994216945e-09,2779.062580847,0.036591673498565,6938.4351455743,100530.96491504
-0.75,-0.0059771010665714,0.19999797441177,-2.2240174146759e-09,2813.283684414,0.02988580801377,7027.0041939339,178772.14497988
-0.5,-0.004729970467473,0.19999791733347,-1.9132913031683e-09,2838.2220436829,0.023650098613034,7091.6624389092,317906.8245051
-0.25,-0.0037861602404443,0.19999786428788,-1.4374534895722e-09,2855.9178526718,0.018931003357585,7137.3129843825,565327.16033003
0,-0.0032257680037031,0.19999782767125,-1.0046683485143e-09,2869.0605040569,0.016129015205782,7170.8637024903,1005309.6491478
0.25,-0.0030765241164723,0.19999780392144,-5.9513349803808e-10,2879.5635088934,0.015382789491225,7197.2847249333,1787721.4497916
0.5,-0.0034183687694047,0.19999778795522,-2.2856383452563e-10,2888.7372426146,0.017092032888654,7219.8138036292,3179068.2450448
0.75,-0.0044424696398344,0.19999777781762,-5.707117001208e-10,2898.5671011205,0.022212595001162,7242.9246135156,5653271.603304
1,-0.0064074469819582,0.19999777097957,2.8541480290301e-10,2913.5091631006,0.032037591972124,7276.3855518058,10053096.49149
1.25,-0.0093928413772811,0.19999776158296,1.1753047424179e-09,2941.7469558545,0.046964732520094,7338.2637948088,17877214.497978
1.5,-0.012933970388642,0.19999773720237,1.9944934592786e-09,2992.7655253761,0.064670583626096,7450.8369456581,31790682.450524
1.75,-0.016287543653668,0.19999767755794,2.7998883211922e-09,3071.8909544247,0.081438663952151,7629.2176413348,56532716.032635
2,-0.018998319958406,0.19999756414841,3.9140584107145e-09,3180.3832039261,0.094992756734563,7879.9491508118,100530964.91525
2.25,-0.020369184268732,0.19999740058277,7.8907271827688e-09,3311.7013555605,0.10184724506349,8194.3620156198,178772144.97975
2.5,-0.020461033930174,0.199997208693,8.8716061164007e-09,3446.2073579137,0.10230659749908,8526.3959235418,317906824.50504
2.75,-0.020442409573607,0.1999969945213,9.4783390025555e-09,3577.7165591828,0.10221358387446,8851.9440902097,565327160.32966
3,-0.02056530523814,0.19999675652836,1.067175414704e-08,3715.3674932849,0.10282819379525,9191.3830176777,1005309649.1443
3.25,-0.020400200617101,0.19999650693668,1.1218894258036e-08,3857.9253718983,0.10200278459937,9545.6633780586,1787721449.7854
3.5,-0.020133026208956,0.19999629307751,1.1257709431334e-08,3999.8707411479,0.1006669968714,9899.5417817897,3179068245.0438
3.75,-0.02004253937695,0.19999613462892,1.1851648551442e-08,4147.1145251285,0.10021463372137,10264.896615774,5653271603.2959
4,-0.019540007452973,0.19999600466943,1.1618983108974e-08,4304.3762752585,0.09770198902631,10659.404410811,10053096491.472
4.25,-0.018118210886796,0.19999588391063,1.1254678078387e-08,4459.1529823079,0.090592918879279,11057.363257764,17877214497.959
4.5,-0.016110123144071,0.19999575744377,1.0526104432529e-08,4597.5302941158,0.08055232446149,11419.969066126,31790682450.588
4.75,-0.014032840001312,0.19999559388433,8.9591827290292e-09,4718.4292689317,0.070165745800431,11738.541490635,56532716033.025
5,-0.011918365963991,0.19999540968462,7.8389250646183e-09,4825.5371842858,0.059593197579442,12021.427564155,100530964915.12
5.25,-0.0096707359953636,0.19999526214999,6.3211764711468e-09,4915.5430818088,0.048354825467659,12260.481500473,178772144979.54
5.5,-0.0074593926113249,0.19999517563854,4.859151303549e-09,4984.4149688805,0.037297862749459,12444.026746229,317906824506.45
5.75,-0.005497633898557,0.19999512839184,3.5642231388522e-09,5033.9676634014,0.027488839067757,12575.723037455,565327160328.14
6,-0.0038447289317408,0.19999509870377,2.4107165152998e-09,5067.5572689502,0.019224115774611,12664.523264827,1005309649145.3

